Codigo de Compartimento;Disponible para asesoramiento con cobro implícito;Disponible para asesoramiento con cobro explícito;Focus List;ISIN;Código de compartimento;Nombre;Divisa;Hedge;Categoria SB;Categoría Morningstar;Politica de dividendos;Traspasable;Benchmark;Mínimo Inicial;Tipo Suscripción Inicial;Mínimo Adicional;Tipo Suscripción Adicional;Gastos Corrientes;Comisión Gestión;Comisión Exito;Comisión Suscripción;Comisión Reembolso;Comisión Deposito;Comisión Distribución;Rebate PB;Producto Complejo;Fecha de constitución;Patrimonio;Rent 1M;Rent YTD;Rent 12M;Rent 36M;Rent 60M;Rent 2022;Rent 2023;Rent 2024;Hora Corte *Folleto;Gestora / Emisor;URL Ficha Comercial ;URL KID PRIIPS;REQ;Concentración Actualizada a feb/2023
;Y;N;N;LU1050470373;29907;AMUNDI EURO GOVERNMENT BOND - AE (C);EUR;N;Renta Fija Gobierno Europa;RF Deuda Pública EUR;C;Y;Bloomberg Euro Tresuary 50Bn TR EUR;1;SHARES;0;;0.35;0.2;;;;;;5;N;4/14/14;1,802,376,975 €;-1.83;-1.96;0.99;-3.25;-2.16;-18.25;6.67;1.6;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/b2ebba93c51b6bb57873f704be690d92_628355/MR_ES_es_LU1050470373_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/a3a984c148ba7a7aaa0008fed1e2a746_151096/PRP_ES_es_LU1050470373_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;Y;N;N;LU1050470456;29907;AMUNDI EURO GOVERNMENT BOND - AE (D);EUR;N;Renta Fija Gobierno Europa;RF Deuda Pública EUR;D;Y;Bloomberg Euro Tresuary 50Bn TR EUR;1;SHARES;0;;0.35;0.2;;;;;;5;N;4/14/14;1,802,376,975 €;-1.83;-1.96;0.98;-3.25;-2.16;-18.26;6.67;1.6;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/b2ebba93c51b6bb57873f704be690d92_628355/MR_ES_es_LU1050470456_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/f0aabb1764c37abe1b6dc033bda9d778_151077/PRP_ES_es_LU1050470456_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;N;Y;N;LU1050470530;29907;AMUNDI EURO GOVERNMENT BOND - RE (C);EUR;N;Renta Fija Gobierno Europa;RF Deuda Pública EUR;C;Y;Bloomberg Euro Tresuary 50Bn TR EUR;0;SHARES;0;;0.25;0.1;;;;;;0;N;4/14/14;1,802,376,975 €;-1.81;-1.93;1.1;-3.15;-2.06;-18.18;6.78;1.7;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/b2d684de29029748431b2169f8968a2d_628539/MR_ES_es_LU1050470530_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/a109b60ef3c5bffffdfc442202f9ea8d_151076/PRP_ES_es_LU1050470530_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;N;Y;N;LU1050470613;29907;AMUNDI EURO GOVERNMENT BOND - RE (D);EUR;N;Renta Fija Gobierno Europa;RF Deuda Pública EUR;D;Y;Bloomberg Euro Tresuary 50Bn TR EUR;0;SHARES;0;;0.25;0.1;;;;;;0;N;4/14/14;1,802,376,975 €;-1.82;-1.94;1.17;-3.04;-1.97;-18.06;6.91;1.81;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/b2d684de29029748431b2169f8968a2d_628539/MR_ES_es_LU1050470613_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/9eaf3d5c883c2c89eeaea22d33154ee8_151066/PRP_ES_es_LU1050470613_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;Y;N;N;LU0518421895;73479;Amundi Funds - Euro Government Responsible Bond A EUR (C);EUR;N;Renta Fija Gobierno;RF Deuda Pública EUR;C;Y;JPM EMU Investment Grade TR EUR;1;SHARES;0;;0.99;0.7;20;;;;0;42;N;7/1/10;593,473,609 €;-1.41;-1.71;1.54;-2.69;-1.75;-17.84;6.57;2.17;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/8ee8ab4350ee13ec7024822aa7a9c8df_548693/MR_ES_es_LU0518421895_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/70024d9b338bde1276600fb9d1c1078e_152191/PRP_ES_es_LU0518421895_YES_2024-12-06.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;Y;N;N;LU1882473348;73479;Amundi Funds - Euro Government Responsible Bond A2 EUR (AD);EUR;N;Renta Fija Gobierno;RF Deuda Pública EUR;D;Y;JPM EMU Investment Grade TR EUR;1;EUR;0;;1.09;0.8;;;;;;43.2;N;6/11/19;593,473,609 €;-0.91;-1.71;1.49;-2.73;-2.24;-17.76;6.36;2.15;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/0d6df7fc04ff107d13ae7b2923864c1a_150900/PRP_ES_es_LU1882473348_YES_2024-12-06.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;Y;N;N;LU1882473264;73479;Amundi Funds - Euro Government Responsible Bond A2 EUR (C);EUR;N;Renta Fija Gobierno;RF Deuda Pública EUR;C;Y;JPM EMU Investment Grade TR EUR;1;EUR;0;;1.09;0.8;;;;;;43.2;N;6/11/19;593,473,609 €;-0.9;-1.71;1.47;-2.73;-2.24;-17.77;6.37;2.15;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/62e50516e77ad3601841ce2b713d8c6c_150897/PRP_ES_es_LU1882473264_YES_2024-12-06.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;Y;N;N;LU1882473850;73479;Amundi Funds - Euro Government Responsible Bond C EUR (C);EUR;N;Renta Fija Gobierno;RF Deuda Pública EUR;C;Y;JPM EMU Investment Grade TR EUR;1;EUR;0;;2.19;0.9;;;;;;133;N;6/11/19;593,473,609 €;-1;-1.94;0.36;-3.8;-3.32;-18.67;5.22;1;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/2a7fd763d2ab73c6971781d2d5d3e4ba_150276/PRP_ES_es_LU1882473850_YES_2024-12-06.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;N;Y;N;LU1882474825;73479;Amundi Funds - Euro Government Responsible Bond R2 EUR (C);EUR;N;Renta Fija Gobierno;RF Deuda Pública EUR;C;Y;JPM EMU Investment Grade TR EUR;1;EUR;0;;0.69;0.4;;;;;;0;N;6/11/19;593,473,609 €;-0.88;-1.63;1.89;-2.34;-1.86;-17.44;6.8;2.54;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/e3e00dfec00fd1c2563d2462e59fca98_150242/PRP_ES_es_LU1882474825_YES_2024-12-06.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;Y;N;N;LU0390717543;21547;Amundi Index MSCI Pacific EX Japan SRI PAB AE-C;EUR;N;Renta Variable Pacífico;RV Pacífico (ex-Japón);C;Y;MSCI Pacific ex JPN SRI filt PAB NR EUR;1;SHARES;0;;0.3;0.15;;;;;;3.75;N;11/25/08;514,159,904 €;-4.88;-1.71;3.43;-1.42;8.51;-6.45;2.14;5;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/03bcbc1fee91dcec13137af7c2284510_362747/MR_ES_es_LU0390717543_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/33a8de0cc65a149739641ddc9bc1cd9c_149531/PRP_ES_es_LU0390717543_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
